date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-06-01,1295,Taiwan,87952000,6,2025,2025-07-10
2025-07-01,1295,Taiwan,63971000,7,2025,2025-08-10
2025-08-01,1295,Taiwan,75481000,8,2025,2025-09-10
2025-09-01,1295,Taiwan,71934000,9,2025,2025-10-10
2025-10-01,1295,Taiwan,96596000,10,2025,2025-11-10
2025-11-01,1295,Taiwan,81080000,11,2025,2025-12-10
2025-12-01,1295,Taiwan,106769000,12,2025,2026-01-10
2025-01-01,1301,Taiwan,13980022000,1,2025,2025-02-10
2025-02-01,1301,Taiwan,16129819000,2,2025,2025-03-10
2025-03-01,1301,Taiwan,17092363000,3,2025,2025-04-10
2025-04-01,1301,Taiwan,16172957000,4,2025,2025-05-10
2025-05-01,1301,Taiwan,14852023000,5,2025,2025-06-10
2025-06-01,1301,Taiwan,14362122000,6,2025,2025-07-10
2025-07-01,1301,Taiwan,14597054000,7,2025,2025-08-10
2025-08-01,1301,Taiwan,13103184000,8,2025,2025-09-10
2025-09-01,1301,Taiwan,14017714000,9,2025,2025-10-10
2025-10-01,1301,Taiwan,13410015000,10,2025,2025-11-10
2025-11-01,1301,Taiwan,13389395000,11,2025,2025-12-10
2025-12-01,1301,Taiwan,14304735000,12,2025,2026-01-10
2025-01-01,1303,Taiwan,20458289000,1,2025,2025-02-10
2025-02-01,1303,Taiwan,22080604000,2,2025,2025-03-10
2025-03-01,1303,Taiwan,23012738000,3,2025,2025-04-10
2025-04-01,1303,Taiwan,23176793000,4,2025,2025-05-10
2025-05-01,1303,Taiwan,21949304000,5,2025,2025-06-10
2025-06-01,1303,Taiwan,20589873000,6,2025,2025-07-10
2025-07-01,1303,Taiwan,21152898000,7,2025,2025-08-10
2025-08-01,1303,Taiwan,20853020000,8,2025,2025-09-10
2025-09-01,1303,Taiwan,22171572000,9,2025,2025-10-10
2025-10-01,1303,Taiwan,21229355000,10,2025,2025-11-10
2025-11-01,1303,Taiwan,21130715000,11,2025,2025-12-10
2025-12-01,1303,Taiwan,22097720000,12,2025,2026-01-10
2025-01-01,1304,Taiwan,3685781000,1,2025,2025-02-10
2025-02-01,1304,Taiwan,4165011000,2,2025,2025-03-10
2025-03-01,1304,Taiwan,4296504000,3,2025,2025-04-10
2025-04-01,1304,Taiwan,3891027000,4,2025,2025-05-10
2025-05-01,1304,Taiwan,3774657000,5,2025,2025-06-10
2025-06-01,1304,Taiwan,3908637000,6,2025,2025-07-10
2025-07-01,1304,Taiwan,3514742000,7,2025,2025-08-10
2025-08-01,1304,Taiwan,3376784000,8,2025,2025-09-10
