date,stock_id,EPS,statement_available_date
2020-06-30,1229,0.94,2020-08-14
2020-09-30,1229,0.77,2020-11-14
2020-12-31,1229,0.67,2021-03-31
2021-03-31,1229,0.98,2021-05-15
2021-06-30,1229,1.18,2021-08-14
2021-09-30,1229,0.62,2021-11-14
2021-12-31,1229,0.33,2022-03-31
2022-03-31,1229,0.91,2022-05-15
2022-06-30,1229,0.95,2022-08-14
2022-09-30,1229,0.44,2022-11-14
2022-12-31,1229,0.42,2023-03-31
2023-03-31,1229,0.74,2023-05-15
2023-06-30,1229,0.78,2023-08-14
2023-09-30,1229,0.68,2023-11-14
2023-12-31,1229,0.5,2024-03-31
2024-03-31,1229,0.7,2024-05-15
2024-06-30,1229,0.79,2024-08-14
2024-09-30,1229,0.44,2024-11-14
2024-12-31,1229,0.58,2025-03-31
2025-03-31,1229,0.55,2025-05-15
2025-06-30,1229,0.77,2025-08-14
2025-09-30,1229,0.71,2025-11-14
2025-12-31,1229,0.57,2026-03-31
2026-03-31,1229,0.55,2026-05-15
2026-06-30,1229,0.65,2026-08-14
2019-03-31,1231,0.66,2019-05-15
2019-06-30,1231,0.56,2019-08-14
2019-09-30,1231,0.6,2019-11-14
2019-12-31,1231,1.24,2020-03-31
2020-03-31,1231,0.56,2020-05-15
2020-06-30,1231,0.77,2020-08-14
2020-09-30,1231,1.07,2020-11-14
2020-12-31,1231,1.36,2021-03-31
2021-03-31,1231,1.02,2021-05-15
2021-06-30,1231,0.85,2021-08-14
2021-09-30,1231,1.0,2021-11-14
2021-12-31,1231,1.33,2022-03-31
2022-03-31,1231,1.09,2022-05-15
2022-06-30,1231,0.69,2022-08-14
2022-09-30,1231,1.04,2022-11-14
2022-12-31,1231,1.18,2023-03-31
2023-03-31,1231,1.04,2023-05-15
2023-06-30,1231,0.39,2023-08-14
2023-09-30,1231,0.67,2023-11-14
2023-12-31,1231,1.92,2024-03-31
2024-03-31,1231,1.18,2024-05-15
2024-06-30,1231,0.88,2024-08-14
2024-09-30,1231,0.85,2024-11-14
2024-12-31,1231,1.51,2025-03-31
2025-03-31,1231,0.46,2025-05-15
2025-06-30,1231,0.85,2025-08-14
2025-09-30,1231,1.05,2025-11-14
2025-12-31,1231,1.57,2026-03-31
2026-03-31,1231,1.0,2026-05-15
2026-06-30,1231,1.31,2026-08-14
2019-03-31,1232,1.86,2019-05-15
2019-06-30,1232,1.32,2019-08-14
2019-09-30,1232,1.45,2019-11-14
2019-12-31,1232,1.46,2020-03-31
2020-03-31,1232,1.66,2020-05-15
2020-06-30,1232,1.58,2020-08-14
2020-09-30,1232,2.17,2020-11-14
2020-12-31,1232,2.67,2021-03-31
2021-03-31,1232,3.05,2021-05-15
2021-06-30,1232,1.68,2021-08-14
2021-09-30,1232,0.85,2021-11-14
2021-12-31,1232,2.18,2022-03-31
2022-03-31,1232,2.98,2022-05-15
2022-06-30,1232,2.36,2022-08-14
2022-09-30,1232,0.78,2022-11-14
2022-12-31,1232,1.54,2023-03-31
2023-03-31,1232,2.17,2023-05-15
2023-06-30,1232,1.62,2023-08-14
2023-09-30,1232,1.69,2023-11-14
2023-12-31,1232,2.06,2024-03-31
2024-03-31,1232,1.76,2024-05-15
2024-06-30,1232,2.65,2024-08-14
2024-09-30,1232,1.61,2024-11-14
2024-12-31,1232,2.22,2025-03-31
2025-03-31,1232,1.93,2025-05-15
2025-06-30,1232,2.0,2025-08-14
2025-09-30,1232,1.91,2025-11-14
2025-12-31,1232,2.41,2026-03-31
2026-03-31,1232,2.33,2026-05-15
